id,code,title,definition,synonyms,inclusions,exclusions
http://id.who.int/icd/entity/448895267,,ICD Entity,,,,
http://id.who.int/icd/entity/455013390,,ICD Category,,,,
http://id.who.int/icd/entity/1435254666,,Certain infectious or parasitic diseases,"This chapter includes certain conditions caused by pathogenic organisms or microorganisms, such as bacteria, viruses, parasites or fungi.",; ; ; ; ,,
http://id.who.int/icd/entity/588616678,,Gastroenteritis or colitis of infectious origin,,,,
http://id.who.int/icd/entity/135352227,,Bacterial intestinal infections,"Any condition of the intestines, caused by an infection with a bacterial source.",,,; ; ; ; ; ; 
http://id.who.int/icd/entity/257068234,,Cholera,"Cholera is a potentially epidemic and life-threatening infection of the intestine, characterised by extreme watery (secretory) diarrhoea often accompanied by vomiting, with rapid depletion of body fluids and salt that may result in hypovolemic shock and acidosis. Cholera outbreaks are caused by toxigenic strains of Vibrio cholerae serogroups O1 and O139. Serogroup O1 has two biovars; classical and eltor. Vibrio cholerae O1, biovar cholerae is classical type. Vibrio cholerae O1, biovar eltor is eltor type.",; ; ,,
http://id.who.int/icd/entity/1170831944,,"Enteritis due to cholera due to Vibrio cholerae, non-O1 strains",,,,
http://id.who.int/icd/entity/1205958647,,"Cholera due to Vibrio cholerae O1, biovar cholerae",,,,
http://id.who.int/icd/entity/1384028266,,"Enteritis due to Cholera due to Vibrio cholerae O1, biovar cholerae","This refers to inflammation of the small intestine due to the bacterium Vibrio cholerae O1, biovar cholerae.",,,
http://id.who.int/icd/entity/581614179,,"Cholera due to Vibrio cholerae O1, biovar eltor",,; ; ,,
http://id.who.int/icd/entity/375406584,,"Enteritis due to cholera due to Vibrio cholerae O1, biovar eltor","This refers to inflammation of the small intestine due to the bacterium Vibrio cholerae O1, biovar eltor.",; ; ,,
http://id.who.int/icd/entity/1972085775,,Cholera due to Vibrio cholerae O139,,,,
http://id.who.int/icd/entity/416025325,,Intestinal infection due to other Vibrio,,,,
http://id.who.int/icd/entity/59746265,,Infections due to Vibrio parahaemolyticus,,,,
